Order list for C:/Users/mcobler/Documents/eagle/BCN3D Electronics/MotherBoard/BCN3D electronics.sch
Exported from EAGLE with DesignLink

Quantity	Value	Package	Order code	Manufacturer	Manuf. Code	Availability	Price (from)	Description
2		JP2Q	unknown					
5		1X04	unknown					
1	ATMEGA2560-16AU	QFP50P1600X1600X120-100N	1288330	ATMEL	ATMEGA2560-16AU	640	8.67	ATMEL - ATMEGA2560-16AU - MCU, 8BIT, ATMEGA, 16MHZ, TQFP-100
2	22p	C0805	2332763	AVX	08055A220KAT2A	38475	0.02	AVX - 08055A220KAT2A - COND, CERÁ MULT, C0G/NP0, 22PF, 50V 0805
8	100n	C0805	499687	AVX	08055C104KAT2A	231426	0.0113	AVX - 08055C104KAT2A - COND, CERÁ MULT, X7R, 100NF, 50V, 0805
1	150UF	CAPAE660X610N	1539463	PANASONIC ELECTRONIC COMPONENTS	EEEFP1A151AP	1011	0.158	PANASONIC ELECTRONIC COMPONENTS - EEEFP1A151AP - COND, ELEC ALUM, 150UF, 10V, SMD
1	220u	UD-8X10_NICHICON	2326175	PANASONIC ELECTRONIC COMPONENTS	EEE1VA221UAP	2654	0.176	PANASONIC ELECTRONIC COMPONENTS - EEE1VA221UAP - COND, ELEC ALUM, 220UF, 35V, SMD
5	0.1u	C0805	499687	AVX	08055C104KAT2A	231426	0.0113	AVX - 08055C104KAT2A - COND, CERÁ MULT, X7R, 100NF, 50V, 0805
2	100u	UD-8X10_NICHICON	1244377	PANASONIC ELECTRONIC COMPONENTS	EEEFC1V101AP	2580	0.292	PANASONIC ELECTRONIC COMPONENTS - EEEFC1V101AP - COND, ELEC ALUM, 100UF, 35V, SMD
2	10u	C1210K	1735537	MURATA	GRM32ER7YA106KA12L	7393	0.556	MURATA - GRM32ER7YA106KA12L - COND, CERÁ MULT, X7R, 10UF, 35V, 1210
1	4.7u	C0805	1833871	AVX	06035C103JAT2A	39173	0.0216	AVX - 06035C103JAT2A - COND, CERÁ MULT, X7R, 10NF, 50V, 0603
2	10n	C0805	499225	AVX	08055C103KAT2A	135923	0.0113	AVX - 08055C103KAT2A - COND, CERÁ MULT, X7R, 10NF, 50V, 0805
1		SMC	9557377	ON SEMICONDUCTOR	MBRS340T3G	44451	0.135	ON SEMICONDUCTOR - MBRS340T3G - DIODE, SCHOTTKY, 3A, 40V, SMC
