Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "BCN3D electronics.brd" as of: 09/11/2015 12:32:33
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
ATMEGA2560,Top,1.680,1.572,180
C1,Top,1.877,2.360,180
C2,Top,1.694,2.360,0
C3,Top,2.121,1.523,90
C4,Top,1.957,2.012,180
C5,Top,1.267,1.605,270
C6,Top,1.822,1.104,0
C7,Top,1.664,3.137,90
C8,Top,1.541,3.964,0
C9,Top,0.539,3.066,270
C10,Top,1.533,0.722,0
C11,Top,2.574,2.272,90
C12,Top,0.658,4.019,0
C13,Top,0.658,3.683,0
C14,Top,2.201,4.981,180
C15,Top,1.078,4.062,90
C16,Top,2.201,4.855,180
C17,Top,2.376,0.984,90
C18,Top,2.460,0.984,90
C19,Top,2.202,0.984,90
C20,Top,2.451,0.398,0
C21,Top,2.289,0.984,90
C22,Top,0.522,2.313,90
C23,Top,2.614,3.064,90
C24,Top,1.242,4.062,270
C25,Top,1.338,2.268,0
D1,Top,1.029,3.633,90
D2,Top,1.867,3.965,180
D3,Top,1.688,4.791,0
D4,Top,0.396,4.092,90
D5,Top,0.398,2.585,90
D6,Top,2.728,2.800,270
D7,Top,0.398,2.827,270
D8,Top,2.570,0.974,90
D9,Top,2.728,2.557,90
D10,Top,1.398,2.094,180
E0,Top,0.157,1.654,270
E1,Top,2.992,1.654,90
F1,Top,0.320,5.080,180
F3,Top,2.672,0.973,90
FID1,Top,2.726,0.097,0
FID2,Top,0.424,1.208,0
FID3,Top,2.453,3.903,0
HOTEND0,Top,0.142,2.699,270
HOTEND1,Top,3.007,2.699,90
IC1,Top,1.598,0.878,90
IC2,Top,2.386,0.652,270
IC3,Top,1.326,4.410,270
L1,Top,1.187,3.065,270
L2,Top,2.622,1.128,180
L3,Top,0.966,0.972,0
L4,Top,0.966,0.894,0
L5,Top,0.966,0.816,0
L6,Top,0.588,1.734,180
L7,Top,0.588,1.662,180
L8,Top,0.588,1.590,180
L9,Top,2.610,1.266,180
L10,Top,2.610,1.338,180
L11,Top,2.610,1.410,180
L12,Top,0.774,3.372,270
L13,Top,0.702,3.372,270
L14,Top,0.630,3.372,270
L15,Top,2.664,3.426,270
L16,Top,2.592,3.426,270
L17,Top,2.520,3.426,270
L18,Top,2.748,4.224,270
L19,Top,2.676,4.224,270
L20,Top,2.604,4.224,270
L21,Top,2.843,0.288,0
LED1,Top,1.871,4.790,180
LED2,Top,0.545,2.820,270
LED3,Top,2.572,2.557,90
LM2595,Top,1.488,3.568,270
PWR5,Top,2.226,4.608,90
PWR24,Top,2.232,4.702,90
Q1,Top,1.660,4.537,0
Q2,Top,0.648,2.635,90
Q3,Top,2.478,2.757,270
Q4,Top,0.549,2.921,90
Q5,Top,2.579,2.436,270
Q6,Top,0.700,0.406,180
Q7,Top,0.570,0.407,180
Q8,Top,0.434,0.407,180
Q9,Top,1.192,4.627,90
R1,Top,1.764,4.182,180
R2,Top,1.873,4.631,90
R3,Top,1.849,0.846,180
R4,Top,1.182,2.656,270
R5,Top,1.085,2.656,270
R6,Top,1.891,4.354,270
R7,Top,1.799,4.356,270
R8,Top,0.708,2.820,180
R9,Top,0.676,2.437,270
R10,Top,0.760,2.436,270
R11,Top,2.410,2.555,0
R12,Top,2.333,2.296,270
R13,Top,2.422,2.296,270
R14,Top,0.707,2.904,0
R15,Top,2.410,2.464,180
R16,Top,0.456,3.066,90
R17,Top,2.657,2.272,90
R18,Top,0.768,0.558,180
R19,Top,1.321,4.620,270
R20,Top,0.768,0.642,180
R21,Top,0.606,0.642,180
R22,Top,0.444,0.642,180
R23,Top,2.670,0.408,270
R24,Top,2.670,0.558,270
R25,Top,2.670,0.708,270
R26,Top,0.355,2.313,270
R27,Top,0.439,2.313,270
R28,Top,0.995,4.062,90
R29,Top,2.780,3.064,90
R30,Top,2.697,3.064,270
R31,Top,0.606,0.558,180
R32,Top,1.170,2.268,180
R33,Top,2.392,0.194,90
R34,Top,2.520,0.194,90
R35,Top,2.112,0.984,270
R36,Top,2.025,0.984,270
R37,Top,1.372,2.176,0
R38,Top,2.060,4.702,0
R39,Top,2.061,4.609,0
R40,Top,0.444,0.558,180
R41,Top,1.440,4.182,180
R42,Top,1.602,4.182,180
R43,Top,1.404,4.620,90
R44,Top,1.488,4.620,90
R45,Top,1.160,4.062,270
R46,Top,0.372,3.066,90
R47,Top,2.740,2.272,270
RESET,Top,1.296,2.454,180
RSHUNT,Top,0.324,4.950,0
RXLED,Top,2.597,0.193,0
SH1,Top,1.848,1.998,270
SJ1,Bottom,1.368,4.632,0
STAT,Top,1.846,0.770,90
TP1,Bottom,0.281,5.262,0
