Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "Smart Extruder Board.brd" as of: 28/07/2016 15:55
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
5V,Top,1.212,1.093,270
24V,Top,0.288,0.985,0
C1,Top,0.714,0.597,180
C2,Top,0.877,0.163,90
C3,Top,0.684,0.153,90
CFAN,Top,0.160,0.331,90
CN1,Top,0.984,0.728,270
D1,Top,0.444,0.335,270
ENDSTOP,Top,1.120,0.301,270
GND,Top,0.372,0.984,0
L1,Top,0.714,0.654,180
LFAN,Top,0.160,0.703,90
Q1,Top,0.824,0.302,180
Q2,Top,0.560,0.271,90
R1,Top,0.538,0.132,0
R2,Top,0.411,0.454,180
R3,Top,0.411,0.590,0
R4,Top,0.411,0.522,180
R5,Top,0.517,0.518,270
R6,Top,0.561,0.409,180
R7,Top,0.716,0.264,180
R8,Top,0.561,0.348,180
U$1,Top,1.220,1.260,0
U$2,Top,0.111,0.114,0
U$3,Top,0.095,1.212,0
U2,Top,0.788,0.160,180
U3,Top,0.666,0.507,270
VERT_FFC1,Top,0.673,1.201,180
