Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "Silent Stepper Driver.brd" as of: 14/09/2016 12:59
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
ADJUST,Top,1.083,0.121,180
C1,Top,0.513,0.301,180
C2,Top,0.611,0.240,270
C3,Top,0.644,0.718,90
C4,Top,0.666,0.240,270
C5,Top,0.748,0.987,270
C6,Top,0.720,0.240,270
C7,Top,0.524,0.098,90
C8,Top,0.546,0.918,90
C9,Top,1.050,0.606,270
C10,Top,0.513,0.366,180
C11,Top,0.450,0.522,180
CFG1,Top,1.224,0.372,270
CFG2,Top,1.134,0.372,270
CFG3,Top,1.044,0.372,270
CFG6,Top,1.041,0.719,180
D1,Top,0.975,0.598,270
D2,Top,0.480,0.432,180
DIA0,Top,0.534,0.690,0
DIA1,Top,0.534,0.630,0
FFC2,Top,1.447,0.580,90
IC1,Top,0.756,0.480,90
L1,Top,1.110,0.606,90
R1,Top,0.846,0.227,90
R2,Top,0.780,0.726,270
R3,Top,1.266,0.138,90
R4,Top,0.374,0.098,270
R6,Top,0.452,0.098,270
U$2,Top,1.442,0.072,0
U$3,Top,0.064,0.316,0
U$4,Top,1.062,1.050,0
