"Qty","Value","Device","Package","Parts","Description","DATASHEET","DESCRIPTION","DISTRIBUTOR1","DISTRIBUTOR2","GEOMETRY_HEIGHT","MANUFACTURER","MF","MPN","OC_FARNELL","ORDERCODE-DISTRI1","ORDERCODE-DISTRI2","ORDERCODE-MANU1","TP_SIGNAL_NAME","VALUE"
"1","20K","TRIM_US-3223G","3223G","ADJUST","POTENTIOMETER","","","","","","","BOURNS","3314G-2-203E","2328481","","","","",""
"1","22n","C-USC0603K","C0603K","C1","CAPACITOR, American symbol","","","","","","","MURATA","GCM188R72A223KA37D","2494195","","","","",""
"6","100n","C-USC0603K","C0603K","C2, C3, C4, C6, C7, C9","CAPACITOR, American symbol","","","","","","","AVX","06035C104KAT2A","1301804","","","","",""
"1","100u","CPOL-USUD-6,3X7,7","UD-6,3X7,7_NICHICON","C5","POLARIZED CAPACITOR, American symbol","","","","","","","PANASONIC ELECTRONIC COMPONENTS","EEE1HA101UAP","2326148","","","","",""
"1","4.7u","C-USC1210","C1210","C8","CAPACITOR, American symbol","","","","","","","KEMET","C1210X475K5RACTU","1414067","","","","",""
"1","470n","C-USC0603K","C0603K","C10","CAPACITOR, American symbol","","","","","","","MURATA","GRM188R71C474KA88D","1828893","","","","",""
"1","4.7u","C-USC0805","C0805","C11","CAPACITOR, American symbol","","","","","","","AVX","0805YC475KAT2A","1657937","","","","",""
"1","PD3S160","PD3S160","POWERDI323","D1","1.0A SURFACE MOUNT SCHOTTKY BARRIER RECTIFIER POWERDI ® 323","","","","","","","DIODES INC.","PD3S160-7","1843697","","","","",""
"1","","DIODE-MINIMELF","MINIMELF","D2","DIODE","","","","","","","NXP","PMLL4448","1097279","","","","",""
"1","FFC_15V_90G_1MM","FFC_15V_90G_1MM","TE_FFC_CON1MM","FFC2","","","","","","","","","","unknown","","","","",""
"1"," TMC2130-LA ","TMC2130-LA","TMC_QFN36_0.5_5.0X6.0","IC1","Universal high voltage driver for two-phase bipolar stepper motor, SPI, Step/Dir, QFN36(5x6)"," http://www_trinamic_com/_scripts/download_php?file=_articles%2Fproducts%2Fintegrated-circuits%2Ftmc2130%2F_datasheet%2FTMC2130_datasheet_pdf "," Universal high voltage driver for two-phase bipolar stepper motor, SPI, Step/Dir, QFN36(5x6) "," Digikey ","  "," 0_8mm "," TRINAMIC ","","","unknown"," 1460-1130-1-ND ","  "," TMC2130-LA ",""," TMC2130-LA "
"1","","M06","JST-6-PTH","MOTOR","Header 6","","","","","","","JST (JAPAN SOLDERLESS TERMINALS)","S6B-PH-K-S (LF)(SN)","9492500","","","","",""
"2","0R11","R-US_R0805","R0805","R1, R2","RESISTOR, American symbol","","","","","","","PANASONIC ELECTRONIC COMPONENTS","ERJ6BSFR11V","2493027","","","","",""
"1","20K","R-US_R0603","R0603","R3","RESISTOR, American symbol","","","","","","","MULTICOMP","MC0201L6F2002SE.","1837767","","","","",""
"1","4.7K","R-US_R0603","R0603","R4","RESISTOR, American symbol","","","","","","","PANASONIC ELECTRONIC COMPONENTS","ERJP06F4701V","1750763","","","","",""
"1","1K","R-US_R0603","R0603","R6","RESISTOR, American symbol","","","","","","","BOURNS","CR0805-JW-102ELF","2008389","","","","",""
"3","","SJ","SJ","SJ1, SJ2, SJ3","SMD solder JUMPER","","","","","","","","","unknown","","","","",""
"1","","SJ2W","SJ_2","SJ4","SMD solder JUMPER","","","","","","","","","unknown","","","","",""
"1","","M03PTH","1X03","SMAEX","Header 3","","","","","","","","","unknown","","","","",""
"1","","JST_2PIN-THM-RA","JST-PH-2-THM-RA","STOP1","JST 2-Pin Connectors of various flavors","","","","","","","JST (JAPAN SOLDERLESS TERMINALS)","S2B-PH-K-S (LF)(SN)","9491902","","","","",""
"3","PTR1TP12R","PTR1TP12R","TP12R","TP1, TP2, TP3","TEST PIN","","","","","","","","","unknown","","","","",""
"3","FIDUCIAL","FIDUCIAL","FIDUCIAL_1MM","U$2, U$3, U$4","For use by pick and place machines to calibrate the vision/machine, 1mm","","","","","","","","","unknown","","","","",""
