Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "Stepper Driver Board.brd" as of: 09/11/2015 12:40:21
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
!EN,Bottom,1.442,0.603,0
ADJUST,Top,1.161,0.157,180
C1,Top,0.695,0.781,180
C2,Top,0.519,0.779,180
C3,Top,0.956,0.970,90
C4,Top,0.427,0.297,270
C5,Top,0.748,0.987,270
C6,Top,1.067,0.347,270
C7,Top,0.788,0.122,90
C8,Top,0.520,0.949,0
DIR,Bottom,1.442,0.536,0
FFC2,Top,1.447,0.580,90
IC1,Top,0.831,0.530,270
R1,Top,0.519,0.863,0
R2,Top,0.416,0.646,180
R3,Top,0.416,0.484,180
R4,Top,0.608,0.122,270
R5,Top,1.161,0.348,90
R6,Top,0.698,0.122,270
STEP,Bottom,1.442,0.668,0
STOP,Top,0.876,0.150,0
U$2,Top,1.496,0.066,0
U$3,Top,0.376,0.064,0
U$4,Top,1.074,1.044,0
USTEP,Bottom,1.170,0.600,180
